org.jhotdraw.app.action.edit.UndoAction org.jhotdraw.app.View 70 41.66666 3.808488
org.jhotdraw.app.action.edit.UndoAction org.jhotdraw.app.action.edit.UndoAction 98 58.33333 77.77778
org.jhotdraw.app.action.edit.RedoAction org.jhotdraw.app.View 68 43.03798 3.699674
org.jhotdraw.app.action.edit.RedoAction org.jhotdraw.app.action.edit.RedoAction 90 56.96202 90.9091
org.jhotdraw.gui.BackgroundTask org.jhotdraw.gui.BackgroundTask 10 100 34.48276
org.jhotdraw.app.AbstractApplication.1 org.jhotdraw.app.View 12 100 0.6528836
org.jhotdraw.gui.Worker org.jhotdraw.gui.Worker 12 100 40
org.jhotdraw.app.OSXApplication.1 org.jhotdraw.app.OSXApplication 60 66.66667 5.576208
org.jhotdraw.app.OSXApplication.1 org.jhotdraw.app.ApplicationModel 6 6.666667 1.863354
org.jhotdraw.app.osx.OSXPaletteHandler.1 org.jhotdraw.app.osx.OSXPaletteHandler 194 87.38739 31.23993
org.jhotdraw.app.osx.OSXPaletteHandler.1 org.jhotdraw.app.OSXApplication 28 12.61261 2.602231
org.jhotdraw.app.osx.OSXPaletteHandler org.jhotdraw.app.osx.OSXPaletteHandler 360 100 57.97101
org.jhotdraw.gui.Worker.2 org.jhotdraw.gui.Worker 18 100 60
org.jhotdraw.gui.BackgroundTask.2 org.jhotdraw.gui.BackgroundTask 16 100 55.17241
org.jhotdraw.samples.teddy.text.NumberedParagraphView org.jhotdraw.samples.teddy.text.NumberedParagraphView 1557 27.46516 100
org.jhotdraw.samples.teddy.TeddyView.1 org.jhotdraw.samples.teddy.TeddyView 69 100 10.59908
org.jhotdraw.app.action.edit.UndoAction.1 org.jhotdraw.app.action.edit.UndoAction 28 100 22.22222
org.jhotdraw.samples.teddy.TeddyView.3 org.jhotdraw.samples.teddy.TeddyView 1 100 0.1536098
org.jhotdraw.app.OSXApplication.FrameHandler org.jhotdraw.app.View 14 77.77778 0.7616975
org.jhotdraw.app.osx.OSXPaletteHandler.2 org.jhotdraw.app.osx.OSXPaletteHandler 26 100 4.186796
org.jhotdraw.app.action.app.ReOpenApplicationAction org.jhotdraw.app.action.app.ReOpenApplicationAction 12 44.44445 66.66667
org.jhotdraw.app.action.app.ReOpenApplicationAction org.jhotdraw.app.Application 14 51.85185 0.5177515
org.jhotdraw.app.action.window.MaximizeWindowAction org.jhotdraw.app.action.window.MaximizeWindowAction 6 66.66667 100
org.jhotdraw.app.action.window.MaximizeWindowAction org.jhotdraw.app.View 3 33.33334 0.1632209
org.jhotdraw.app.OSXApplication.FrameHandler org.jhotdraw.app.OSXApplication 4 22.22222 0.3717472
org.jhotdraw.app.action.AbstractSaveUnsavedChangesAction org.jhotdraw.app.action.AbstractSaveUnsavedChangesAction 4 12.5 80
org.jhotdraw.app.action.AbstractSaveUnsavedChangesAction org.jhotdraw.app.View 12 37.5 0.6528836
org.jhotdraw.app.action.AbstractSaveUnsavedChangesAction org.jhotdraw.util.ResourceBundleUtil 14 43.75 0.04610116
org.jhotdraw.app.action.AbstractSaveUnsavedChangesAction org.jhotdraw.gui.JSheet 2 6.25 0.3597122
org.jhotdraw.gui.JSheet org.jhotdraw.gui.JSheet 476 95.58233 85.61151
org.jhotdraw.gui. org.jhotdraw.gui.JSheet 9 5.202312 1.618705
org.jhotdraw.gui.JSheet org.jhotdraw.util.Methods 9 1.807229 18.36735
org.jhotdraw.gui.JSheet.7 org.jhotdraw.gui.JSheet 60 100 10.79137
org.jhotdraw.gui.JSheet org.jhotdraw.gui.event.SheetListener 9 1.807229 100
org.jhotdraw.app.action.AbstractSaveUnsavedChangesAction.1 org.jhotdraw.gui.event.SheetEvent 2 25 20
org.jhotdraw.app.action.AbstractSaveUnsavedChangesAction.1 org.jhotdraw.util.ResourceBundleUtil 3 37.5 0.00987882
org.jhotdraw.app.action.AbstractSaveUnsavedChangesAction.1 org.jhotdraw.app.action.AbstractSaveUnsavedChangesAction 1 12.5 20
org.jhotdraw.app.action.file.CloseFileAction org.jhotdraw.app.View 2 66.66667 0.1088139
org.jhotdraw.app.action.file.CloseFileAction org.jhotdraw.app.Application 1 33.33334 0.03698225
org.jhotdraw.app.OSXApplication org.jhotdraw.app.action.window.FocusWindowAction 5 0.3069368 6.944445
org.jhotdraw.app.AbstractView org.jhotdraw.app.Disposable 15 30 100
org.jhotdraw.beans.AbstractBean org.jhotdraw.beans.WeakPropertyChangeListener 61880 100 100
org.jhotdraw.app.action.AbstractSaveUnsavedChangesAction.1 org.jhotdraw.app.View 2 25 0.1088139
org.jhotdraw.app.action.app.ExitAction org.jhotdraw.app.action.app.ExitAction 15 12.82051 62.5
org.jhotdraw.app.action.app.ExitAction org.jhotdraw.app.Application 24 20.51282 0.887574
org.jhotdraw.app.action.AbstractApplicationAction.1 org.jhotdraw.app.action.AbstractApplicationAction 70 100 10.83591
org.jhotdraw.app.action.app.ExitAction org.jhotdraw.util.ResourceBundleUtil 36 30.76923 0.1185458
org.jhotdraw.draw.action.EditorColorIcon org.jhotdraw.draw.DrawingEditor 909 100 0.8283744
org.jhotdraw.draw.DefaultDrawingEditor org.jhotdraw.draw.AttributeKey 21465 71.85899 9.529835
org.jhotdraw.draw.DefaultDrawingView.EventHandler org.jhotdraw.draw.DefaultDrawingView 5306 65.97041 4.589013
org.jhotdraw.draw.DefaultDrawingView.EventHandler org.jhotdraw.draw.DrawingEditor 49 0.6092254 0.04465384
org.jhotdraw.draw.DefaultDrawingEditor org.jhotdraw.draw.DefaultDrawingEditor 864 2.892437 52.42719
org.jhotdraw.draw.DefaultDrawingEditor.1 org.jhotdraw.draw.DefaultDrawingEditor 98 100 5.946602
org.jhotdraw.draw.DefaultDrawingEditor org.jhotdraw.draw.DrawingView 6829 22.86164 5.185506
org.jhotdraw.draw.tool.AbstractTool org.jhotdraw.draw.DrawingEditor 13392 18.5858 12.20417
org.jhotdraw.draw.tool.AbstractTool org.jhotdraw.draw.DrawingView 38841 53.90466 29.49337
org.jhotdraw.draw.tool.AbstractTool org.jhotdraw.draw.tool.AbstractTool 9821 13.62987 97.53699
org.jhotdraw.draw.tool.AbstractTool org.jhotdraw.draw.event.ToolListener 3728 5.173825 100
org.jhotdraw.draw.DefaultDrawingEditor.ToolHandler org.jhotdraw.draw.event.ToolEvent 2906 54.05506 80.69981
org.jhotdraw.draw.DefaultDrawingEditor.ToolHandler org.jhotdraw.draw.DefaultDrawingEditor 636 11.83036 38.59224
org.jhotdraw.draw.tool.CreationTool org.jhotdraw.draw.tool.CreationTool 844 52.84909 100
org.jhotdraw.draw.tool.CreationTool org.jhotdraw.draw.DrawingView 133 8.328115 0.1009917
org.jhotdraw.draw.DefaultDrawingView org.jhotdraw.draw.DefaultDrawingView 110256 48.34666 95.35736
org.jhotdraw.draw.tool.CreationTool org.jhotdraw.draw.Figure 492 30.80776 0.2485376
org.jhotdraw.draw.tool.CreationTool org.jhotdraw.draw.DrawingEditor 41 2.567314 0.03736342
org.jhotdraw.draw.DefaultDrawingEditor org.jhotdraw.draw.Figure 371 1.242007 0.1874135
org.jhotdraw.draw.AbstractAttributedFigure org.jhotdraw.draw.AttributeKey 185547 79.96027 82.37746
org.jhotdraw.draw.AbstractAttributedFigure org.jhotdraw.draw.AbstractAttributedFigure 35816 15.43467 100
org.jhotdraw.draw.tool.AbstractTool org.jhotdraw.draw.Constrainer 1077 1.494691 36.14094
org.jhotdraw.draw.tool.CreationTool org.jhotdraw.draw.Drawing 79 4.946775 0.3097675
org.jhotdraw.draw.AbstractCompositeFigure org.jhotdraw.draw.AbstractCompositeFigure 11324 56.77329 84.73511
org.jhotdraw.draw.AbstractCompositeFigure org.jhotdraw.draw.Figure 7579 37.99759 3.82859
org.jhotdraw.draw.QuadTreeDrawing org.jhotdraw.draw.Figure 10568 39.26289 5.338506
org.jhotdraw.draw.RoundRectangleFigure org.jhotdraw.draw.AttributeKeys 757 95.34005 0.5812123
org.jhotdraw.draw.AttributeKeys org.jhotdraw.draw.Figure 100955 40.77129 50.99819
org.jhotdraw.draw.AttributeKeys org.jhotdraw.draw.AttributeKeys 105580 42.63912 81.06261
org.jhotdraw.draw.AttributeKeys org.jhotdraw.draw.AttributeKeys.StrokeType 28812 11.6359 100
org.jhotdraw.draw.AttributeKeys org.jhotdraw.draw.AttributeKeys.StrokePlacement 10191 4.115696 98.56853
org.jhotdraw.draw.RoundRectangleFigure org.jhotdraw.geom.Geom 37 4.65995 0.06224241
org.jhotdraw.draw.QuadTreeDrawing org.jhotdraw.geom.QuadTree 9207 34.20642 82.41876
org.jhotdraw.geom.QuadTree org.jhotdraw.geom.QuadTree.QuadNode 10742 96.1597 52.29287
org.jhotdraw.geom.QuadTree.QuadNode org.jhotdraw.geom.QuadTree.QuadNode 9800 94.93364 47.70714
org.jhotdraw.geom.QuadTree.QuadNode org.jhotdraw.geom.QuadTree 523 5.066357 4.681765
org.jhotdraw.draw.AbstractFigure org.jhotdraw.draw.AbstractFigure 13502 49.45787 100
org.jhotdraw.draw.AbstractFigure org.jhotdraw.draw.event.FigureListener 13767 50.42857 100
org.jhotdraw.draw.AbstractCompositeFigure.EventHandler org.jhotdraw.draw.AbstractCompositeFigure 1992 95.08353 14.90572
org.jhotdraw.draw.AbstractCompositeFigure org.jhotdraw.draw.event.CompositeFigureListener 65 0.3258799 100
org.jhotdraw.draw.DefaultDrawingView.EventHandler org.jhotdraw.draw.Drawing 65 0.8081562 0.254872
org.jhotdraw.draw.DefaultDrawingView.EventHandler org.jhotdraw.draw.event.CompositeFigureEvent 73 0.9076215 100
org.jhotdraw.draw.DefaultDrawingView org.jhotdraw.draw.Drawing 23787 10.43047 93.27138
org.jhotdraw.draw.AbstractAttributedCompositeFigure org.jhotdraw.draw.AttributeKey 15760 94.64329 6.996981
org.jhotdraw.draw.QuadTreeDrawing org.jhotdraw.draw.QuadTreeDrawing 4173 15.50379 57.88597
org.jhotdraw.draw.DefaultDrawingView org.jhotdraw.draw.Constrainer 1676 0.7349169 56.24162
org.jhotdraw.geom.QuadTree org.jhotdraw.geom.QuadTree 429 3.840301 3.840301
org.jhotdraw.draw.QuadTreeDrawing org.jhotdraw.draw.AttributeKeys 429 1.593848 0.3293793
org.jhotdraw.draw.AttributeKeys org.jhotdraw.draw.AttributeKeys.Underfill 2075 0.8380013 100
org.jhotdraw.draw.AbstractAttributedFigure org.jhotdraw.draw.AttributeKeys 7435 3.204065 5.708472
org.jhotdraw.draw.QuadTreeDrawing org.jhotdraw.draw.AbstractDrawing 1444 5.364839 99.93079
org.jhotdraw.draw.DefaultDrawingView org.jhotdraw.draw.DrawingEditor 7399 3.244421 6.74273
org.jhotdraw.draw.DefaultDrawingView org.jhotdraw.draw.tool.Tool 2023 0.8870745 12.2184
org.jhotdraw.draw.DefaultDrawingView.EventHandler org.jhotdraw.draw.event.FigureEvent 1316 16.36205 28.4479
